no,function,value,color,button
0,pgm,input1,05,51
1,pgm,input2,05,52
2,pgm,input3,05,53
3,pgm,input4,05,54
4,pgm,input5,05,55
5,pgm,input6,05,47
6,pgm,input7,05,48
7,pgm,input8,05,49
8,pgm,input9,05,4A
9,pgm,input10,05,4B
10,pgm,mediaPlayer1,04,57
11,pgm,mediaPlayer2,04,58
12,pgm,black,04,59
13,pgm,color1,04,4D
14,pgm,color2,04,4E
15,pgm,colorBars,04,4F
16,pvw,input1,15,33
17,pvw,input2,15,34
18,pvw,input3,15,35
19,pvw,input4,15,36
20,pvw,input5,15,37
21,pvw,input6,15,29
22,pvw,input7,15,2A
23,pvw,input8,15,2B
24,pvw,input9,15,2C
25,pvw,input10,15,2D
26,pvw,mediaPlayer1,18,39
27,pvw,mediaPlayer2,18,3A
28,pvw,black,18,3B
29,pvw,color1,18,2F
30,pvw,color2,18,30
31,pvw,colorBars,18,31
32,usk1_onair,,05,
33,usk2_onair,,05,
34,usk3_onair,,05,
35,usk4_onair,,05,
36,bkgd_next,,0C,
37,usk1_next,,0C,
38,usk2_next,,0C,
39,usk3_next,,0C,
40,usk4_next,,0C,
41,dsk1_tie,,0D,15
42,dsk2_tie,,0D,0B
43,dsk1_onair,,05,16
44,dsk2_onair,,05,0C
45,dsk1_auto,,05,17
46,dsk2_auto,,05,0D
47,transtyle,mix,0C,19
48,transtyle,dip,0C,1A
49,transtyle,wipe,0C,1B
50,transtyle,sting,0C,1C
51,transtyle,dve,0C,1D
52,transition,cut,09,10
53,transition,auto,09,12
54,preview_transition,,22,13
55,fade_to_black,,03,45
56,profile,1,03,5B
57,profile,2,03,5C
58,profile,3,03,5D
59,,,,
60,,,,
